,title,rating,run time,year,genre,Director,Score
6,Eternals,PG-13,2H:36M,2021,Action,Chloé Zhao,8.9
7,Avengers: Endgame,PG-13,3H:1M,2019,Action,Anthony Russo,8.9
8,Black Widow,PG-13,2H:14M,2021,Action,Cate Shortland,8.9
9,Avengers: Infinity War,PG-13,2H:29M,2018,Action,Anthony Russo,8.9
10,Doctor Strange,PG-13,1H:55M,2016,Action,Scott Derrickson,8.9
12,Captain America: Civil War,PG-13,2H:27M,2016,Action,Anthony Russo,8.9
13,Iron Man,PG-13,2H:6M,2008,Action,Jon Favreau,8.9
14,The Avengers,PG-13,2H:23M,2012,Action,Joss Whedon,8.9
15,Thor: Ragnarok,PG-13,2H:10M,2017,Action,Taika Waititi,8.9
16,Guardians of the Galaxy,PG-13,2H:1M,2014,Action,James Gunn,8.9
17,Black Panther,PG-13,2H:14M,2018,Action,Ryan Coogler,8.9
18,Captain Marvel,PG-13,2H:3M,2019,Action,Anna Boden,8.9
19,Captain America: The First Avenger,PG-13,2H:4M,2011,Action,Joe Johnston,8.9
20,Avengers: Age of Ultron,PG-13,2H:21M,2015,Action,Joss Whedon,8.9
21,Iron Man Three,PG-13,2H:10M,2013,Action,Shane Black,8.9
22,Thor,PG-13,1H:55M,2011,Action,Kenneth Branagh,8.9
23,Guardians of the Galaxy Vol. 2,PG-13,2H:16M,207,Action,James Gunn,8.9
24,Iron Man 2,PG-13,2H:4M,2010,Action,Jon Favreau,8.9
25,Captain America: The Winter Soldier,PG-13,2H:16M,2014,Action,Anthony Russo,8.9
26,The Incredible Hulk,PG-13,1H:52M,2008,Action,Louis Leterrier,8.9
27,Ant-Man,PG-13,1H:57M,2015,Action,Peyton Reed,8.9
