,names,tomatometer,number_of_reviews,year,genre,audience_score,audience_count,critics_count,minutes,part_of_the_mcu
78,Spider-Man: Far From Home,90,452,2019,Comedy/Adventure,95,"50,000+",452,129,1
79,Zootopia,98,298,2016,Animation/Comedy,92,"100,000+",298,108,0
80,Alien,98,127,1979,Horror/Sci-fi,94,"250,000+",127,117,0
81,King Kong,98,66,1933,Fantasy/Adventure,86,"50,000+",66,100,0
82,Call Me by Your Name,94,363,2017,Romance/Drama,86,"10,000+",363,132,0
83,Psycho,96,105,1960,Horror/Mystery & thriller,95,"100,000+",105,109,0
84,L.A. Confidential,99,161,1997,Crime/Drama,94,"100,000+",161,136,0
85,Shadow of a Doubt,100,48,1943,Crime/Drama,89,"10,000+",48,108,0
86,1917,89,461,2019,War/History,88,"25,000+",461,119,0
87,War for the Planet of the Apes,94,360,2017,Adventure/Action,84,"50,000+",360,142,0
88,The Florida Project,96,315,2017,Drama,80,"10,000+",315,115,0
89,Paddington 2,99,247,2017,Comedy/Adventure,87,"5,000+",247,103,0
90,Widows,91,420,2018,Crime/Drama,61,"5,000+",420,128,0
91,A Hard Day's Night,98,111,1964,Musical/Comedy,89,"50,000+",111,83,0
92,The Battle of Algiers,99,89,1966,War/History,95,"10,000+",89,125,0
93,"The Godfather, Part II",96,114,1974,Crime/Drama,97,"250,000+",114,200,0
94,Baby Driver,92,395,2017,Mystery & thriller/Action,86,"50,000+",395,113,0
95,Never Rarely Sometimes Always,99,235,2020,Drama,52,500+,235,101,0
96,Spider-Man: Homecoming,92,394,2017,Action/Adventure,87,"100,000+",394,133,1
97,The Bridge on the River Kwai,96,93,1957,War/Drama,93,"50,000+",93,161,0
98,Pain and Glory,96,299,2019,Drama,91,250+,299,113,0
99,Top Hat,100,42,1935,Romance/Musical,90,"5,000+",42,99,0
